text,summary
"I don't drink hot tea on a regular basis, but do enjoy it occasionally. This Bentley assortment looked like a good way to try some teas I have not had as well as including some of my favorites. Very nice presentation in the wooden box which would make a nice gift for tea lovers. When I opened the box, my wife and daughter both were quickly picking out what they wanted to try and noting the nice presentation. Judging from their responses either would have been please to receive this item as a gift although I'm sure that they will help me taste test the variety of teas.",Nice tea assortment would make great gift
"Taste a bit like Apple Jacks :D Kellogg's Apple Jacks Cereal, 17-Ounce Boxes (Pack of 4) Haven't had in awhile. I eat these like Pop Corn which I can't have now...Like I Stated on the sub the ones I really like are Lundberg Eco-Farmed Honey Nut Rice Cake, 9.5-Ounce Units  (Pack of 12) taste a bit like Cracker jacks!!! :D Eat like Pop Corn:D",It's O.K. with me but I like the Honey nut better
"I have purchased so many varieties of cat products....ranging in price...this is not cheap but my cat for the first time isnt being picky and what makes this even better, he doesnt walk away and throw it up...so penny for penny...in my house..the price isnt so bad.I plan to find all the gravy ones...he does like the gel ones too and yes it stinks but cats wont eat what they cant smell...so be it...now to find an easier way to get it to my house..other then paying high shipping cost or driving out to Petco.",My cat drives me nuts..but with this Soulistic drives him nuts
"I'd label this as flavored water, but bottled water has more flavor. I noticed when I poured it into a sauce pan for heating it up, almost half, maybe more, was just water. Upon actually eating it, I couldn't help but notice what little bit of flavor there was tasted like regular olive oil (as opposed to the ""Extra Virgin olive oil listed in the ingredients). I'd like to think it was a bad batch, but even then you'd think quality control was better than that. Either way, I'd recommend buying a single container locally and trying that before buying a bulk quantity.",I've had bottled water with more flavor.
"Beware:  Once you try this peanut butter, you will never go back.  I tell people it's like crack and I'm not kidding :)On a serious note, I blame a coworker for my addiction.  She made me try it on a toasted english muffin, and life changed from that moment on.  I'm a peanut butter fan but never had it with honey, like this.  It's delicious, easy to spread, no oily like those 'other' brands.Not many stores in my area carry it (and I'm just 10 miles north of Boston, it's not like I live in the boonies lol).  There was one store 10 miles from me that had it, so I would drive there to get it.  Then - sob! - suddenly they stopped carrying it!  I tried many other places, my coworker went on a search as well, we couldn't find the crack oooops I mean peanut butter ANYWHERE, which is why I resorted to buying it online.  And thanks Amazon for such a great deal too!I tried the Skippy brand with honey, no comparision to The Bee's Knee's!",This peanut butter can be compared to an illegal drug
"I eat sunflower seeds all the time. It keeps me away from candy. I like to try the new flavours sometimes.I also like hot and spicy foods.Win-win!No.Really, these are just plain awful.",I'm a seed guy; these are absolutely disgusting
"I am extremely sensitive to MSG, sulfites, etc. - they give me terrible migraines.  Although this mix says ""no msg"" it DOES contain sulfites, so if a glass or two of wine gives you a headache (wine typically contains sulfites), then this pickling spice may give you migraines/headaches as well.  This is just an FYI to the folks like me who have to be careful what they eat and drink. The sulfites in this pickling blend are used a preservative, which is completely unnecessary in my opinion.  McCormick simply wishes to ensure an indefinite shelf life for this stuff at the expense of individuals' health.PS - I love to make pickles, jellies and preserves, etc., and to give them as gifts.  If you give gifts of pickles made from this spice, please consider warning the recipients about the sulfites.  Nothing ruins a gift like associating a friend or loved one with a gift that makes you ill!  I speak from experience.",WARNING: Contains sulfites
"My 11 year old son discovered the joy of jerky in the fall of 2011. Elk jerky, a souvenir from Elk County, PA, was his new favorite. In a moment of desperation-Christmas-stocking-shopping, I thought to get him some 'weird' types of jerky. So I got him Kangaroo and Wild Boar. This was a great hit with all the males (19, 48, 71) we celebrated Christmas with. He shared the Wild Boar with some of his friends at school, but kept two full sticks of the kangaroo jerky for himself. He loves to take these oddities to lunch at his school.Although these were a great hit, I don't imagine I'll be buying many more. The shipping prices it out of my 'casual shopper' mode.PS. I don't want anyone to think I'm sexist. Those present of the female gender chose not to try it, as we cared less than the men, and did not want to eat up all of my son's prize! :)",Wicked fun and tasty
"I am really impresses with Amazon.  When the product did not show up at the expected time I contacted Amazon.  The person who I had contact with told me it was lost in shipment and would resend it immediately.  It was sent next day air.  Now how many businesses do that???Good going Amazon.Charles FieldChino Hills, CA",Greate service for Altoids
"I am not pleased with this seller at all. I have done business at Amazon on multiple occasions, and have always been pleased, if not down-right delighted with the whole process, but this most recent transaction, the purchase of the Mexican Vanilla Totonacs has me extemely, shall we say wary, therefor I must make people aware, as well as Amazon.com.I made my purchase last night (Tues. 27th) and today, at 1:29p.m. I received a call from my financial institution for possible fraudulent charges on my account. Less than 18 hours from my transaction, to the time my CU had to put a fraud notice on that account. In the 25 minutes it took me to drive into town to get to my CU, another charge had been attempted on it.My recommendation is to not do any business with this company until it's sorted out, since I've never had problems with Amazon before this experience. Amazon, you may want to verify this group with whom you're doing business, and warn your other customers.",be very afraid
"I got these as a gift for my mom, who is an avid tea drinker. The blooms opened and were not nearly as pretty as I thought they'd be. They looked more like seaweed. The taste was terrible, granted, I only tried the jasmine, maybe the green tea is better.","Bad taste, not pretty"
"This is the very best coconut water. It is the only one that tastes like it is from a freshly opened coconut. But every month since I have subscribed to monthly delivery, the price keeps going up!",Great product but price keeps going up!
I'm sure as many others I wanted to duplicated Starbucks green tea frapiccino. It thisProduct didn't. It was too sweet.,Missing the flavor
"I was happy to try this tea out, hoping it would help with my occasional morning sickness.  I've had success with lemon tea or with ginger cookies in the past, so had high hopes.  But, I can't stomach this tea when well, and there is no way I could manage it if nauseated!First of all,  I followed package directions as to the amount of water to add, so it was as strong as it was supposed to be.  I tasted no lemon, nothing but ginger, lots and lots of ginger.  It was very spicy hot.  Enough that it burned my mouth for a minute or two after taking one sip.  Same thing with the next sip.Do not buy this tea unless you have drunk STRONG ginger tea before and know that you like it.  And expect this tea to be very spicy hot.  And don't expect any lemon flavor.  Personally, I thought it was absolutely horrible.","Horribly spicy/hot, overpowering ginger taste with no lemon, followed directions exactly"
sorry but i'm not used to this food. i don't like the taste and i can't make the bread that i want.i feel that i wasted my $37.00 already.,not used to it...
"This product is the straw that broke the camel's back, making me 100% convinced I should not eat anything made in India.  Of course, it helps I have a long history of frequenting Indian groceries for staples such as frozen naan and papadam...and it doesn't help that I frequently find half-exploded cans of botulism-encrusted, expired, imported Indian goo in any random neighborhood Indian grocery.So here's my report on first opening the package:The jaggery looks like unreasonably yellow tofu cube looking sugar blocks; they are not the lovely and natural blond or brunette of colombian panela or mexican piconcillo.  The smell is horrible, something like the plastic on a bad capacitor that has burned out, the smell of a soldering iron, something strangely industrial and/or metallic and/or plastic and/or burning.  Brake dust.  Computer on fire.  Pthalates burning in a trash heap.  Scumdog millionaire sets the pool toy factory aflame next door to the sugar fields....This is food???Ok, I thought, maybe it's the packaging that I'm smelling, so I drop them in some water to bring to a boil.First thing happens, yellow color starts emanating from the cubes.  ""Oh"", I think to myself, ""It's been hit with yellow #5, or at best, Turmeric"".Next I notice the jaggery starts to bubble.  Bubble?  My mexican piconcillo doesn't do that.  It's just sugar, right?Finally, as it dissolves, I waft the scent of brake dust, caramel, something strange like a fake beef or meat flavor, something strangely umami but muskier.Then I dump the whole thing and toss out the 2 lbs of jaggery I bought.No more Indian food.  The irony is that you have a perfect product that nature produces, then you have to adulterate it, overcomplicating it with garbage, making it unacceptable.Attention India and China: I will not participate in your industrial-waste-laundering-through-food scheme.",Poisonous tofu cubes made of sugar and brake dust
"Expecting the Bonsai to be looking exactly like in the picture with flowers, But it came packaged well but kind of dried and no flowers. Sent it for a gift and felt very bad for sending in such a gift.",It didnot look anythining like the picture they put up !
"What more can you ask for, these are the best cream egga since I was a kid.  My mom always got us a cream filled egg for our Easter.  Even whan I was in Vietnam she managed to get one to me!  The only thing I could have wished for to make them perfect would have been a yellow yolk.  Oh well, the taste brought back such wondeerful memories that I would have paid twice the price to get the quality.  They are wonderful.  I seldon write reviews, but these needed swomeone to say how good they are.  One word of caution, the shipping and handling fee is steep, so I checked to see how much more it cost for ""expedited"" and since it was only a buck more for the 6 eggs I ordered, I went with that and sure enough the arrived much faster.  This is the third order I have made with them in two years and their quality has been very consistant!!  If they are not hand made they sure look and taste like they are.  When I run out, I will be ordering more, even if it isn't Easter.  I hope they will stil make them up for me.  I can't put a price on the wonderful memories of my Mom that they brought back.",Sooooo good and fast
"Don't know if the box of Jocalat bars I got was just not fresh or what but they were awful. Loved the Cherry and Apple Pie, Pecan was ok but these were like a dry brick.",Not one I would buy again
"PB2 peanut butter and peanut butter chocolate are a great find.  I love the fact that it tastes great in Protein shakes or just mixed with water for my morning toast.  This came highly recommended to me and and I am glad I ordered one of each flavor.  The only thing that was a negative was the date of the use life of the product; it was a short time frame to use it which tells me it has been on the shelf for a  bit longer than normal.  No biggie, I will use it up before that date anyway. The product is great otherwise!",PB2 works for me!
"Confirmed Goji Berry causing severe nausia cramping and intestinal pain.I was introduced to goji berries during the summer as a friend I met had just opened a raw food cafe. His food NEVER (I mean never) gave me any problems it was all delicious and much of it was cacao and goji berries. He has very selective about his sources and does not trust many companies out there.(His Goji comes from Sunfood)When I returned home from Alaska I decided to try more superfoods and bought a trail mix by Navitas that was Goji, Cacao Nibs, and Cashews. That day I had a green shake for breakfast and a banana for a snack then just a pinch of Goji Berries afterwards. Within the hour I was writhing in pain and couldn't imagine what it was.This pain is severe. I wanted to die. It lasted about twelve hours. Including vomiting and diarrheaNext day I had a big green salad for lunch and then feeling better grabbed another SMALL pinch of goji and within 20 minutes I was in the exact same pain. I knew then it was the goji and instantly typed ""goji stomach ache"" into google and found threads verifying it.I called my friend and told him about my reaction and he asked me if it was Navitas.  I didn't recall and didn't have the bag on me but he said he bet 100% it was them.  He had similar reaction to their product and did hydrogen peroxide tests and found them to be rancid.  Got home and verified his assertion.Again, I never had this problem before eating Goji from Sunfood, but this Navitas is killing me.BEWARE: Detox can be painful enough even on a quality Goji berry.  You should start with very small amounts and I would recommend trying alternate brands NOT navitas.",Beware many reports of toxic effects from Navitas
"I've had the Cappuccino flavor of this drink and I absolutely loved it.  I'm not huge on this flavor.  It's very strong and I don't taste much sweetness.  It was a bit overpowering for my tastes.The Cappuccino flavored can was 8.45 oz which I thought was a bit small but this flavor is even smaller at 6.8 oz.Although I like the simpleness of have a ready-made coffee drink, I think I'll stick to the Cappuccino ones.",Very strong...didn't care for it...
FYI....this product came to me with 9 decaf cups and an iced coffee.  I did not realize there would be decafs and if so wouldn't have purchased.  That being said...the other coffees have been great so far and i'm happy to get a sampler before spending my money on a large box.,Decafs and Iced Coffee's
This is a great soy sauce! No one should use any other soy sauce then this. But why pay this crazy price? Just go to the actual site for the comany and get a case of 12 bottles for nearly the same price!,Best soy sauce in the world!
"I bought the chocolate covered peanuts and they were delicious, so I wanted to try the peanut brittle. The planks are a light yellow with a few peanut halves (if you can find them) thrown in. These are just hardened planks of sugar with very little taste. I gave up after eating a few pieces and threw them away. I cannot recommend this product at all, but I can recommend their chocolate covered peanuts. Only order chocolate in the spring and winter, as it will melt into a gooey  mess during hotter months.",Planks of sugar with a few peanut halves thrown in
The description is FALSE and MISLEADING.  This is NOT 40oz... Compare to Walmart per $0.40 oz price to this at $0.74 per oz.... that is 34 cents per oz MORE than Walmart charges.,False and misleading
"This stuff is great, Can definitely taste the peppermint and mocha and it's a wonderful holiday treat! I do suggest doubling the recipe though so it is more rich and creamy!",Great Holiday Treat!
The Cadbury Crunchie Bars was not packed properly.  No padding of any kind.  Bars crushed and a mess to eat.,Crushed Candy Bars
"I picked up a bag of Loacker Quadratini Chocolate wafer cookies at a nearby Fresh and Easy Store. It's only a 4.42 ounce bag, but otherwise is the same product. I wish I had an 8.82 ounce bag. These things are delicious. They're labeled chocolate, but they taste more like cocoa. I guess the taste is pretty close. In any case, they're not very sweet and I like that. They're also nice and fresh. It's a good product. I'll try some of the others when these are done.Gary Peterson",Delicious. A Good Product.
"No where does the amazon lisitng, yes it says purified water on the ingredient list but nowehere does it tell you that all it is is watered down juice!... as soon as i opend the box and saw the words 49% juice I was shocked...see the pretty picture?  can u see the words 49% juice?  no cause it is on the back.No wehre in the product lsitng on amazon did it meantion that or i would never have bought it.wht spend 21 dollars on 96 ounces of tap water and 96 ounces of organic juice?For SHAME!!!!!!!!!!!!!",BUYER BEWARE it's only 49% JUICE!!!!!!!
"This tea is excellent. The company is reputable and produces an excellent, high-quality product. There are clearly leaves in the bag and I've never had any issues with any residues in the box or the tea bags (other reviewer) and I've been drinking this tea for more than 4 year, ordering in bulk. This tea is great and of the highest-quality. I've tried other oolongs and nothing compares to the quality and freshness - at least according to my taste buds! Steep a cup for yourself - great!",Exellent - One of the Best Organic Oolong teas out there
I ordered this because I wanted a taste of home.  I live overseas and I am a big pepperoni and jerky fan. I was disappointed in what i got.  The quality is at best average and because of this it is greatly overpriced.  It would have been overpriced at half the price. Next time i will have someone go to 7 eleven and buy some for me.  It will be cheaper and better quality.,I have had better at 7 Eleven
"We just received our Bonito flakes today and it seems that it expired already (2003 production date). We got lots expired Eden products, including this one, from Amazon this month and they cannot be returned due to Amazon policy. The latest Eden promotions are to ship out the overstocks and to ""clear"" items that are remainder from past warehouse leftovers. We also found it to be true for the majority of Amazon grocery promotions EVERY MONTH, wherever there's a discount code to be entered. Beware of the sales practice before you order, especially if in large quantities and it they are not to be consumed immediately.","Expired Eden product,do NOT order"
"No detailed analysis here, I like the overall taste of this muesli. It is not like the European or Australian mueslis I've tried but still pretty good. Not a fast breakfast, for sure. Take your time chewing but be happy that you got a good dose of fiber!",I like it!
"If you are having troubles going to the restroom, eat this once a day and it does wonders.",Great price and great food
"This bread does have a different taste plain, but oh when you toast it, the flavor is terrific. I strongly recommend this product for anyone, but if you are a diabetic, this is one bread that can't be beat with 7 grams of fiber in every slice. This will help fill you up and help bring those sugar numbers tumbling down.",Great for Diabetics & the Health Concious
"I feed my cats Indigo Moon and Castor&Pollux Organix, both of which are most excellent catfoods containing organic and wholesome ingredients.  The value of this catfood shows up in my cats' general excellent health, rich beautiful fur coats, clear eyes, great energy. And the cats seem to love the flavor of Indigo Moon.",A most excellent catfood
"smell so nice and very good at cooking ,vanilla was not skinny like a  food store expensive one.many bean inside and smell great !I will buy again !",very nice quality
Bigelow Decaffeinated Constant Comment Tea has all the wonderful orange and spice flavors of their regular Constant Comment tea with the added benefit of my being able to sip and enjoy it even just before bedtime.,Wonderful tea you can drink at bedtime
"This Dogswell food is one heck of a good buy for my pups, and they like it just fine. Trouble is, what used to look like ""stew"" (chunks of meaty things andt recognizable vegetables) now looks like barf. It must taste the same to the dogs, though, so no complaints have been registered. This is good, since I recently received a 4 case order. It seems to be the same high quality product that Dogswell has been producing before. Just looks different, that's all. Must have been a corporate decision...I'll keep on buying it, though I wish they would go back to the old formula.",Stew Is Now Mush
